gpu_name,g3d_mark,tdp,category
Radeon R9 M470X,"3,244",75,Mobile
Quadro M1200,"3,235",45,Workstation
GeForce GTX 680M,"3,216",100,Mobile
GeForce GTX 860M,"3,037",45,Mobile
Quadro M1000M,"2,865",40,Workstation
GeForce GTX 770M,"2,802",75,Mobile
Quadro M620,"2,801",30,Workstation
Radeon R9 M380,"2,763",NA,Mobile
GeForce GTX 675MX,"2,642",100,Mobile
MONSTER GeForce GTX 675M,"2,637",NA,Mobile
Radeon Pro WX 4150,"2,588",50,Mobile
GeForce GTX 950M,"2,585",75,Mobile
GeForce GTX 850M,"2,517",40,Mobile
Radeon Pro WX 3200,"2,433",65,Mobile
GeForce GTX 485M,"2,360",100,Mobile
Radeon R9 M470,"2,331",75,Mobile
GeForce MX150,"2,280",25,Mobile
Radeon HD 6970M,"2,270",75,Mobile
Quadro M600M,"2,177",30,Workstation
GeForce 945M,"2,109",NA,Mobile
GeForce GTX 580M,"2,074",100,Mobile
Radeon R9 M385,"2,061",70,Mobile
Radeon Pro W5500M,"2,010",85,Mobile
Radeon R9 M385X,"1,994",75,Mobile
GeForce GTX 765M,"1,993",65,Mobile
Radeon Pro WX 4130,"1,967",50,Mobile
Radeon RX 640,"1,962",50,Mobile
GeForce GTX 470M,"1,953",50,Mobile
GeForce GTX 670MX,"1,951",75,Mobile
GeForce GTX 675M,"1,929",100,Mobile
Quadro M520,"1,886",25,Workstation
GeForce GTX 570M,"1,864",75,Mobile
Radeon Pro WX 2100,"1,831",35,Mobile
Radeon HD 8870M / R9 M270X / M370X,"1,800",NA,Mobile
Firepro W5170M,"1,761",NA,Workstation
GeForce GTX 670M,"1,743",75,Mobile
Radeon R9 M375X,"1,728",NA,Mobile
GeForce GTX 760M,"1,720",55,Mobile
Radeon HD 6900M,"1,703",NA,Mobile
GeForce GT 755M,"1,689",50,Mobile
Radeon HD HD7850M,"1,652",NA,Mobile
Radeon HD 8870M,"1,638",NA,Mobile
GeForce GTX 480M,"1,617",100,Mobile
Intel Iris Plus 650,"1,586",NA,Mobile
Radeon Vega 8,"1,583",NA,Mobile
Radeon R9 M275X / M375,"1,575",50,Mobile
Radeon R9 M370X,"1,544",50,Mobile
GeForce 845M,"1,524",NA,Mobile
Radeon 610M Ryzen 9 7945HX,"1,524",NA,Mobile
Radeon HD 7870M,"1,507",45,Mobile
Radeon R9 M365X,"1,482",50,Mobile
GeForce GTX 660M,"1,436",50,Mobile
Radeon R7 M370,"1,418",NA,Mobile
Radeon Pro WX 4170,"1,409",50,Mobile
Radeon HD 7850M,"1,373",40,Mobile
Intel Iris Plus 640,"1,346",NA,Mobile
GeForce GT 750M,"1,328",50,Mobile
Radeon HD 8790M,"1,306",NA,Mobile
GeForce 930MX,"1,290",17,Mobile
GeForce GTX 460M,"1,246",50,Mobile
GeForce GTX 560M,"1,245",75,Mobile
Radeon HD 8790M / R9 M290X,"1,211",NA,Mobile
GeForce GT 650M,"1,205",45,Mobile
Radeon R9 M270X,"1,204",NA,Mobile
Radeon HD 7750M,"1,191",28,Mobile
GeForce GPU,"1,188",NA,Mobile
Quadro M500M,"1,164",30,Workstation
Radeon HD 8850M / R9 M265X,"1,140",NA,Mobile
Radeon R9 M265X,"1,138",NA,Mobile
Radeon HD 8650G + 7700M Dual,"1,126",NA,Mobile
GeForce 940M,"1,122",33,Mobile
RadeonT 610M,"1,121",NA,Mobile
Radeon R9 M275,"1,115",NA,Mobile
Radeon 610M,"1,099",NA,Mobile
GeForce GT 745M,"1,095",45,Mobile
GeForce GTX 850M - MODDED,"1,092",NA,Mobile
GeForce 840M,"1,088",30,Mobile
Mobility Radeon HD 5870,"1,076",50,Mobile
Radeon HD 8450G + 8600/8700M Dual,"1,070",NA,Mobile
Radeon HD 7520G + 7700M Dual,"1,061",NA,Mobile
Radeon HD 8600/8700M,"1,030",NA,Mobile
Radeon HD 6700M,"1,017",NA,Mobile
GeForce 930M,"1,014",NA,Mobile
Radeon HD 7690M XT,"1,009",25,Mobile
GeForce 830M,"1,008",25,Mobile
Radeon HD 7660G + HD 7500M/7600M Dual,999,NA,Mobile
Radeon HD 7640G + HD 8750M Dual,997,NA,Mobile
Radeon HD 8750M,993,NA,Mobile
