gpu_name,g3d_mark,tdp,category
Mobility Radeon HD 3410,63,NA,Mobile
GeForce 8400M G,59,10,Mobile
GeForce 8200M G,58,19.2,Mobile
GeForce Go 7300,52,NA,Mobile
Mobility Radeon HD 2300,51,NA,Mobile
MOBILITY RADEON X600,50,NA,Mobile
Mobility Radeon X2300,48,NA,Mobile
MOBILITY RADEON 9800,46,NA,Mobile
GeForce Go 7200,45,NA,Mobile
Mobility Radeon X1400,43,NA,Mobile
Mobility Radeon X1300,40,NA,Mobile
Mobility Radeon X1350,40,NA,Mobile
Radeon Xpress 1300M,40,NA,Mobile
MOBILITY RADEON 9600/9700,39,NA,Mobile
MOBILITY RADEON 9600,36,NA,Mobile
MOBILITY RADEON X300,34,NA,Mobile
Mobility Radeon X1450,33,NA,Mobile
MOBILITY RADEON 9550,30,NA,Mobile
MOBILITY RADEON 9700,27,NA,Mobile
GeForce Go 6400,24,NA,Mobile
RADEON XPRESS 200M,23,NA,Mobile
GeForce 7150M / nForce 630M,18,NA,Mobile
GeForce FX Go 5600,18,NA,Mobile
GeForce Go 6200,15,NA,Mobile
GeForce 7000M,13,NA,Mobile
GeForce 7000M / nForce 610M,13,NA,Mobile
GeForce FX Go 5200,8,NA,Mobile
RADEON IGP 350M,6,NA,Mobile
GeForce2 Go,4,NA,Mobile
GeForce4 4200 Go,4,NA,Mobile
GeForce4 440 Go,4,NA,Mobile
MOBILITY RADEON 7500,4,NA,Mobile
Radeon IGP 320M,4,NA,Mobile
GeForce4 420 Go,3,NA,Mobile
MOBILITY RADEON 9000,3,NA,Mobile
MOBILITY RADEON 9200,3,NA,Mobile
Radeon IGP 340M,3,NA,Mobile
RADEON IGP 345M,3,NA,Mobile
RADEON IGP 34xM,2,NA,Mobile
