CPU Name,Cores,CPU Mark,Thread Mark,"TDP									","Socket										",Category
Intel Core i7-9850HL @ 1.90GHz,6,"7,563","1,502",25,FCBGA1440,"Desktop, Laptop"
Intel Xeon E3-1535M v5 @ 2.90GHz,4,"7,517","2,122",45,FCBGA1440,"Laptop, Server"
Intel Core i7-8557U @ 1.70GHz,4,"7,492","2,403",15,FCBGA1528,Laptop
Intel Core i5-8257U @ 1.40GHz,4,"7,491","2,275",15,FCBGA1528,Laptop
Intel Core i5-8300H @ 2.30GHz,4,"7,474","2,282",45,FCLGA1151-2,Laptop
Intel Core i5-8279U @ 2.40GHz,4,"7,459","2,300",28,FCBGA1528,Laptop
AMD Ryzen 7 PRO 3700U,4,"7,458","2,025",15,FP5,Laptop
Intel Core i7-7820EQ @ 3.00GHz,4,"7,453","2,207",45,FCBGA1440,Laptop
AMD Ryzen 3 4300U,4,"7,445","2,308",15,FP6,Laptop
Intel Core i5-1035G1 @ 1.00GHz,4,"7,403","2,240",15,FCBGA1526,Laptop
Intel Core i7-7920HQ @ 3.10GHz,4,"7,402","2,233",45,FCBGA1440,Laptop
Intel Core i7-7820HK @ 2.90GHz,4,"7,402","2,119",45,FCBGA1440,Laptop
Intel Core i3-N300,8,"7,356","1,797",7,FCBGA1264,Laptop
Intel Core i3-10100T @ 3.00GHz,4,"7,335","2,275",35,FCLGA1200,Laptop
Intel Core i5-9300HF @ 2.40GHz,4,"7,324","2,280",45,FCBGA1440,Laptop
Intel Core i7-6920HQ @ 2.90GHz,4,"7,321","2,092",45,FCBGA1440,Laptop
Intel Core i7-8706G @ 3.10GHz,4,"7,287","2,322",65,BGA2270,Laptop
AMD Ryzen 5 3580U,4,"7,259","1,982",15,FP5,Laptop
AMD Ryzen 5 Microsoft Surface Edition,4,"7,243","1,815",15,FP5,Laptop
Intel Core i7-7820HQ @ 2.90GHz,4,"7,167","2,121",45,FCBGA1440,Laptop
AMD Ryzen 7 3700U,4,"7,161","1,976",15,FP5,Laptop
AMD Ryzen 7 PRO 2700U,4,"7,155","1,947",15,FP5,Laptop
AMD Ryzen 7 3700C,4,"7,145","2,301",15,FP5,"Laptop, Mobile/Embedded"
Intel Core i7-6770HQ @ 2.60GHz,4,"7,121","1,951",45,FCBGA1440,Laptop
Intel Core i5-8269U @ 2.60GHz,4,"7,111","2,377",28,FCBGA1528,"Laptop, Mobile/Embedded"
Intel Core i7-6820HK @ 2.70GHz,4,"7,053","1,990",45,FCBGA1440,Laptop
Intel Core i7-5850EQ @ 2.70GHz,4,"7,036","2,119",47,FCBGA1364,Laptop
AMD Ryzen 5 PRO 3500U,4,"7,029","1,961",15,FP5,Laptop
Intel Core i7-4940MX @ 3.10GHz,4,"7,003","2,234",57,"FPGA946,FPGA947",Laptop
Intel Core i7-6820EQ @ 2.80GHz,4,"7,001","1,997",45,FCBGA1440,Laptop
AMD Ryzen 7 3780U,4,"6,961","1,937",15,FP5,Laptop
Intel Core i5-8305G @ 2.80GHz,4,"6,951","2,048",65,BGA2270,Laptop
AMD Ryzen 5 3500U,4,"6,950","1,948",15,FP5,Laptop
Intel Core i7-7700HQ @ 2.80GHz,4,"6,915","2,059",45,FCBGA1440,Laptop
Intel Core i7-5850HQ @ 2.70GHz,4,"6,866","2,219",47,FCBGA1364,Laptop
AMD Ryzen 7 2700U,4,"6,855","1,813",15,FP5,Laptop
Intel Core i7-6820HQ @ 2.70GHz,4,"6,830","1,956",45,FCBGA1440,Laptop
Intel Xeon D-1528 @ 1.90GHz,6,"6,785","1,469",35,FCBGA1667,"Laptop, Server"
Snapdragon 8cx Gen 2 @ 3.0 GHz,8,"6,770","1,759",NA,Unknown,"Laptop, Mobile/Embedded"
AMD Ryzen 5 3450U,4,"6,736","1,915",15,FP5,Laptop
Intel Core i7-10610U @ 1.80GHz,4,"6,694","2,257",15,FCBGA1528,Laptop
AMD Ryzen Embedded V1605B,4,"6,677","1,908",15,FP5,"Laptop, Mobile/Embedded"
AMD Ryzen 3 PRO 3200GE,4,"6,662","2,120",35,AM4,Laptop
AMD Ryzen 5 PRO 2500U,4,"6,656","1,797",15,FP5,Laptop
Snapdragon 8cx Gen 2 @ 3.15 GHz,8,"6,610","1,951",7,Unknown,"Laptop, Mobile/Embedded"
Intel Core i7-1060NG7 @ 1.20GHz,4,"6,601","1,865",10,FCBGA1526,Laptop
Intel Core i7-10510U @ 1.80GHz,4,"6,599","2,293",15,FCBGA1528,Laptop
AMD Ryzen 5 2500U,4,"6,552","1,822",15,FP5,Laptop
Intel Core i7-6700HQ @ 2.60GHz,4,"6,530","1,912",45,FCBGA1440,Laptop
Intel Core i7-4980HQ @ 2.80GHz,4,"6,514","2,164",47,FCBGA1364,Laptop
Intel Core i7-4930MX @ 3.00GHz,4,"6,435","2,075",57,FCPGA946,Laptop
Intel Core i7-4960HQ @ 2.60GHz,4,"6,411","2,101",47,FCBGA1364,Laptop
Intel Core i5-10310U @ 1.70GHz,4,"6,403","2,195",15,FCBGA1528,Laptop
Intel Core i7-4870HQ @ 2.50GHz,4,"6,333","2,056",47,FCBGA1364,Laptop
Microsoft SQ2 @ 3.15 GHz,8,"6,311","1,913",NA,Unknown,Laptop
Intel Core i7-4760HQ @ 2.10GHz,4,"6,300","1,944",47,FCBGA1364,Laptop
Intel Core i7-8650U @ 1.90GHz,4,"6,276","2,133",15,FC-BGA1356,Laptop
Intel Core i7-8665U @ 1.90GHz,4,"6,254","2,190",15,FCBGA1528,Laptop
Intel Core i7-4910MQ @ 2.90GHz,4,"6,245","2,025",47,FCPGA946,Laptop
Intel Core i7-4860HQ @ 2.40GHz,4,"6,242","1,893",47,FCBGA1364,Laptop
Intel Core i5-10210U @ 1.60GHz,4,"6,201","2,166",15,FCBGA1528,Laptop
Intel Core i5-8350U @ 1.70GHz,4,"6,196","2,019",15,FC-BGA1356,Laptop
Intel Core i7-8565UC @ 1.80GHz,4,"6,187","2,527",15,FCBGA1528,Laptop
Intel Core i5-8365U @ 1.60GHz,4,"6,126","2,135",15,FCBGA1528,Laptop
Intel Core i7-4850HQ @ 2.30GHz,4,"6,118","1,934",47,FCBGA1364,Laptop
Intel Core i7-4900MQ @ 2.80GHz,4,"6,098","1,986",47,FCPGA946,Laptop
Intel Core i7-8565U @ 1.80GHz,4,"6,097","2,159",15,FCBGA1356,Laptop
Intel Xeon E3-1505L v6 @ 2.20GHz,4,"6,088","1,848",25,FCBGA1440,"Laptop, Server"
Intel Core i7-4770HQ @ 2.20GHz,4,"6,086","1,917",47,FCBGA1364,Laptop
Intel Xeon E3-1268L v5 @ 2.40GHz,4,"6,079","1,654",35,FCLGA1151,"Laptop, Server"
Intel Core i3-1115G4 @ 3.00GHz,2,"6,076","2,635",15,FCBGA1449,Laptop
Intel Core i7-4810MQ @ 2.80GHz,4,"6,062","2,024",47,FCPGA946,Laptop
Intel Core i3-8100B @ 3.60GHz,4,"6,044","2,338",65,FCBGA1440,Laptop
Intel Core i7-5700HQ @ 2.70GHz,4,"6,039","2,015",47,FCBGA1364,Laptop
Intel Core i5-8265U @ 1.60GHz,4,"5,978","2,071",15,FCBGA1528,Laptop
AMD Ryzen 3 PRO 3300U,4,"5,974","1,950",15,FP5,Laptop
Intel Core i7-3840QM @ 2.80GHz,4,"5,930","1,941",45,rPGA988B,Laptop
Intel Core i7-8550U @ 1.80GHz,4,"5,910","2,050",15,FC-BGA1356,Laptop
Intel Core i5-8250U @ 1.60GHz,4,"5,877","1,909",15, FC-BGA1356,Laptop
AMD Ryzen 3 3350U,4,"5,876","1,927",15,Unknown,Laptop
Intel Core i7-4710MQ @ 2.50GHz,4,"5,845","1,890",47,FCPGA946,Laptop
Intel Core i7-3940XM @ 3.00GHz,4,"5,830","1,919",55,rPGA988B,Laptop
Intel Core i7-5700EQ @ 2.60GHz,4,"5,803","2,092",47,FCBGA1364,Laptop
AMD Ryzen 3 PRO 2300U,4,"5,792","1,832",15,FP5,Laptop
